country_id, country_name, city_id,  city_name,parent_city_id
234,        Uzbekistan,   1216494672, Yakkasaroy tumani, 228171787
234,        Uzbekistan,   1216494676, Yunusobad tumani, 228171787
234,        Uzbekistan,   1216494673, Uchtepa tumani, 228171787
234,        Uzbekistan,   1216404884, Shayxontohur tuman, 228171787
234,        Uzbekistan,   1216375304, Bek baraka, 228171787
234,        Uzbekistan,   1216494675, Yashnobod tuman, 228171787
234,        Uzbekistan,   686630820, Samarkand Kattaqo`rg`on, 0
234,        Uzbekistan,   686630533, Samarkand Ishtixon, 0
234,        Uzbekistan,   686630094, Samarkand Bulungur, 0
234,        Uzbekistan,   686631739, Samarkand Pastdarg`om, 0
